DATE,USER_NUMS
2020-01-01,34318
2020-01-02,42455
2020-01-03,47460
2020-01-04,37275
2020-01-05,32598
2020-01-06,44601
2020-01-07,42887
2020-01-08,42920
2020-01-09,43301
2020-01-10,45256
2020-01-11,38095
2020-01-12,33677
2020-01-13,46171
2020-01-14,45653
2020-01-15,47183
2020-01-16,49551
2020-01-17,53995
2020-01-18,44271
2020-01-19,36687
2020-01-20,47549
2020-01-21,49187
2020-01-22,47961
2020-01-23,43610
2020-01-24,36568
2020-01-25,34044
2020-01-26,53029
2020-01-27,34868
2020-01-28,34759
2020-01-29,35211
2020-01-30,43173
2020-01-31,43526
