"No","year","month","day","hour","pm2.5","No","avg","std"
26,2010,1,2,1,148,26,129,0
38,2010,1,2,13,164,38,146.66666666666666,4.988876515698589
42,2010,1,2,17,164,42,157,2.160246899469287
54,2010,1,3,5,83,54,61.666666666666664,4.714045207910318
60,2010,1,3,11,98,60,82,3.265986323710904
73,2010,1,4,0,79,73,73.66666666666667,1.6996731711975954
86,2010,1,4,13,32,86,27,1.632993161855452
98,2010,1,5,1,34,98,30,0.816496580927726
106,2010,1,5,9,29,106,27,0
107,2010,1,5,10,36,107,27.666666666666668,0.9428090415820629
113,2010,1,5,16,50,113,37.666666666666664,3.399346342395189
117,2010,1,5,20,84,117,58.333333333333336,1.6996731711975943
118,2010,1,5,21,106,118,67.66666666666667,11.556623882239808
130,2010,1,6,9,29,130,22,2.160246899469287
138,2010,1,6,17,56,138,49.666666666666664,1.6996731711975956
139,2010,1,6,18,96,139,52.333333333333336,2.8674417556808747
142,2010,1,6,21,132,142,92,12.569805089976535
154,2010,1,7,9,27,154,23.666666666666668,0.47140452079103146
155,2010,1,7,10,40,155,24.666666666666668,1.6996731711975945
158,2010,1,7,13,55,158,41.333333333333336,0.9428090415820629
164,2010,1,7,19,67,164,53.666666666666664,2.8674417556808756
165,2010,1,7,20,106,165,57,7.2571803523590805
166,2010,1,7,21,159,166,75.66666666666667,22.095751225568733
171,2010,1,8,2,275,171,198.33333333333334,8.498365855987975
178,2010,1,8,9,92,178,72.66666666666667,6.236095644623237
179,2010,1,8,10,135,179,76.33333333333333,11.264496832477203
182,2010,1,8,13,250,182,162.66666666666666,26.284765338288434
196,2010,1,9,3,196,196,163.66666666666666,3.399346342395192
213,2010,1,9,20,54,213,42,3.559026084010437
216,2010,1,9,23,66,216,50.333333333333336,2.8674417556808764
226,2010,1,10,9,35,226,25,1.632993161855452
227,2010,1,10,10,50,227,29,4.320493798938574
228,2010,1,10,11,70,228,37.333333333333336,9.533566430716727
234,2010,1,10,17,88,234,69.66666666666667,1.247219128924646
242,2010,1,11,1,27,242,23,0.816496580927726
248,2010,1,11,7,20,248,16.333333333333332,0.47140452079103146
251,2010,1,11,10,25,251,19.333333333333332,0.9428090415820629
260,2010,1,11,19,17,260,13,0
261,2010,1,11,20,20,261,14.333333333333334,1.8856180831641265
262,2010,1,11,21,27,262,16.666666666666668,2.867441755680875
267,2010,1,12,2,37,267,19,2.8284271247461903
273,2010,1,12,8,16,273,10.333333333333334,0.9428090415820632
276,2010,1,12,11,21,276,14.666666666666666,1.247219128924647
285,2010,1,12,20,31,285,24.333333333333332,0.9428090415820636
296,2010,1,13,7,27,296,11.666666666666666,0.4714045207910318
302,2010,1,13,13,49,302,31.666666666666668,4.189935029992179
307,2010,1,13,18,59,307,44.333333333333336,3.7712361663282543
308,2010,1,13,19,76,308,48.333333333333336,8.2192186706253
314,2010,1,14,1,257,314,69.33333333333333,4.18993502999218
324,2010,1,14,11,95,324,86,1.4142135623730951
328,2010,1,14,15,86,328,77.66666666666667,1.8856180831641258
350,2010,1,15,13,31,350,26.666666666666668,0.9428090415820636
351,2010,1,15,14,35,351,27.666666666666668,2.357022603955158
354,2010,1,15,17,64,354,36,0.816496580927726
358,2010,1,15,21,102,358,88,3.559026084010437
361,2010,1,16,0,141,361,94.33333333333333,6.12825877028341
362,2010,1,16,1,211,362,107.33333333333333,23.976840677805928
371,2010,1,16,10,135,371,108,4.898979485566356
380,2010,1,16,19,197,380,150.66666666666666,2.4944382578492976
381,2010,1,16,20,235,381,167,21.275964529643932
391,2010,1,17,6,208,391,152.66666666666666,5.249338582674539
396,2010,1,17,11,230,396,175.33333333333334,10.143416036468624
403,2010,1,17,18,212,403,178,10.23067283548187
404,2010,1,17,19,250,404,193.33333333333334,14.383632673594276
406,2010,1,17,21,317,406,243.33333333333334,23.34285520001546
412,2010,1,18,3,349,412,289,9.899494936611665
413,2010,1,18,4,407,413,311.3333333333333,27.98015169524442
423,2010,1,18,14,154,423,142.33333333333334,3.858612300930074
424,2010,1,18,15,173,424,148,4.320493798938574
427,2010,1,18,18,233,427,188,12.24744871391589
428,2010,1,18,19,408,428,208,18.708286933869708
449,2010,1,19,16,336,449,309.3333333333333,3.299831645537227
451,2010,1,19,18,485,451,335.3333333333333,17.969109295924746
458,2010,1,20,1,389,458,346.6666666666667,12.918548250050728
491,2010,1,21,10,26,491,18,0
498,2010,1,21,17,21,498,15.666666666666666,0.9428090415820632
499,2010,1,21,18,40,499,17.666666666666668,2.494438257849294
502,2010,1,21,21,61,502,45.333333333333336,4.4969125210773475
511,2010,1,22,6,22,511,16,1.4142135623730951
515,2010,1,22,10,25,515,20.666666666666668,1.2472191289246468
518,2010,1,22,13,32,518,24.333333333333332,1.6996731711975952
523,2010,1,22,18,37,523,31.333333333333332,0.9428090415820636
524,2010,1,22,19,49,524,33,2.943920288775949
538,2010,1,23,9,41,538,23.333333333333332,0.9428090415820636
545,2010,1,23,16,22,545,17.666666666666668,0.9428090415820636
616,2010,1,26,15,127,616,87.66666666666667,2.0548046676563243
618,2010,1,26,17,203,618,120.33333333333333,22.54378455854789
621,2010,1,26,20,274,621,211,14.236104336041748
622,2010,1,26,21,340,622,234.66666666666666,30.728199137310707
652,2010,1,28,3,34,652,23,2.943920288775949
664,2010,1,28,15,23,664,13.666666666666666,1.699673171197595
688,2010,1,29,15,31,688,12,0
691,2010,1,29,18,52,691,36.333333333333336,4.496912521077347
695,2010,1,29,22,43,695,25,0.816496580927726
706,2010,1,30,9,35,706,25,2.943920288775949
716,2010,1,30,19,45,716,35,2.160246899469287
717,2010,1,30,20,71,717,39.333333333333336,4.02768199119819
720,2010,1,30,23,94,720,69,1.632993161855452
729,2010,1,31,8,22,729,17.666666666666668,1.2472191289246468
738,2010,1,31,17,26,738,18,0.816496580927726
740,2010,1,31,19,54,740,23,2.943920288775949
742,2010,1,31,21,129,742,49.666666666666664,19.430788855719562
748,2010,2,1,3,76,748,67.33333333333333,2.054804667656325
