No |year|month|day|hour|pm2.5|No |avg               |std                |
---|----|-----|---|----|-----|---|------------------|-------------------|
113|2010|    1|  5|  16|   50|113|37.666666666666664|  3.399346342395189|
117|2010|    1|  5|  20|   84|117|58.333333333333336| 1.6996731711975943|
118|2010|    1|  5|  21|  106|118| 67.66666666666667| 11.556623882239808|
130|2010|    1|  6|   9|   29|130|                22|  2.160246899469287|
138|2010|    1|  6|  17|   56|138|49.666666666666664| 1.6996731711975956|
139|2010|    1|  6|  18|   96|139|52.333333333333336| 2.8674417556808747|
142|2010|    1|  6|  21|  132|142|                92| 12.569805089976535|
154|2010|    1|  7|   9|   27|154|23.666666666666668|0.47140452079103146|
155|2010|    1|  7|  10|   40|155|24.666666666666668| 1.6996731711975945|
158|2010|    1|  7|  13|   55|158|41.333333333333336| 0.9428090415820629|
164|2010|    1|  7|  19|   67|164|53.666666666666664| 2.8674417556808756|
165|2010|    1|  7|  20|  106|165|                57| 7.2571803523590805|
166|2010|    1|  7|  21|  159|166| 75.66666666666667| 22.095751225568733|
171|2010|    1|  8|   2|  275|171|198.33333333333334|  8.498365855987975|
178|2010|    1|  8|   9|   92|178| 72.66666666666667|  6.236095644623237|
179|2010|    1|  8|  10|  135|179| 76.33333333333333| 11.264496832477203|
182|2010|    1|  8|  13|  250|182|162.66666666666666| 26.284765338288434|
196|2010|    1|  9|   3|  196|196|163.66666666666666|  3.399346342395192|
213|2010|    1|  9|  20|   54|213|                42|  3.559026084010437|
216|2010|    1|  9|  23|   66|216|50.333333333333336| 2.8674417556808764|
